HGNC approved symbol,Product,Function,Protein complex,Target entity,HGNC approved name,UniProt ID (human),Pfam domains,UniProt ID (mouse),Modification
NCOA3,#,Histone modification write,#,#,nuclear receptor coactivator 3,NCOA3_HUMAN,"DUF1518 PF07469 1291-1348, Nuc_rec_co-act PF08815 1045-1095, PAS PF00989 113-210, PAS_11 PF14598 264-375, Pfam-B_10879 PB010879 1096-1195, Pfam-B_14009 PB014009 794-924, SRC-1 PF08832 616-704",NCOA3_MOUSE,Histone acetylation
NCOA6,#,Histone modification write cofactor,"CHD8, MLL2/3, COMPASS-like MLL3,4",#,nuclear receptor coactivator 6,NCOA6_HUMAN,"Nucleic_acid_bd PF13820 45-195, Pfam-B_14375 PB014375 987-1511, Pfam-B_3537 PB003537 407-669",NCOA6_MOUSE,Histone methylation
NCOR1,#,Histone modification erase cofactor,#,#,nuclear receptor corepressor 1,NCOR1_HUMAN,"Myb_DNA-binding PF00249 625-670, Pfam-B_4054 PB004054 1242-1723, Pfam-B_670 PB000670 1725-1983, Pfam-B_7837 PB007837 1-159",NCOR1_MOUSE,Histone acetylation
NCOR2,#,Histone modification erase cofactor,#,#,nuclear receptor corepressor 2,NCOR2_HUMAN,"Myb_DNA-binding PF00249 612-657, Pfam-B_1539 PB001539 271-430",NCOR2_MOUSE,Histone acetylation
NEK6,"H1ph, H3ph",Histone modification write,#,"H1, H3",NIMA-related kinase 6,NEK6_HUMAN,Pkinase PF00069 45-306,NEK6_MOUSE,Histone phosphorylation
NEK9,H1ph,Histone modification write,#,H1,NIMA-related kinase 9,NEK9_HUMAN,"Pfam-B_22064 PB022064 309-349, Pkinase PF00069 52-308, RCC1 PF00415 390-441 444-495 499-547 615-665",NEK9_MOUSE,Histone phosphorylation
NFYB,#,"Chromatin remodeling, TF",#,DNA motif,"nuclear transcription factor Y, beta",NFYB_HUMAN,"CBFD_NFYB_HMF PF00808 57-122, Pfam-B_17851 PB017851 1-39",NFYB_MOUSE,TF activator
NFYC,#,Histone modification,#,#,"nuclear transcription factor Y, gamma",NFYC_HUMAN,"CBFD_NFYB_HMF PF00808 41-105, Pfam-B_8767 PB008767 141-201",NFYC_MOUSE,#
NIPBL,#,Histone modification erase cofactor,#,#,Nipped-B homolog (Drosophila),NIPBL_HUMAN,"Cohesin_HEAT PF12765 1794-1835, Nipped-B_C PF12830 2274-2457, Pfam-B_338 PB000338 1292-1355, Pfam-B_4450 PB004450 1859-2018, Pfam-B_5032 PB005032 2020-2194",NIPBL_MOUSE,Histone acetylation
NOC2L,#,"Chromatin remodeling, TF",#,H3,nucleolar complex associated 2 homolog (S. cerevisiae),NOC2L_HUMAN,"Noc2 PF03715 325-623, Pfam-B_22168 PB022168 62-101, Pfam-B_2429 PB002429 644-713, Pfam-B_50064 PB050064 1-31",NOC2L_MOUSE,TF repressor
NPAS2,#,"Chromatin remodeling, TF",#,DNA motif,neuronal PAS domain protein 2,NPAS2_HUMAN,"HLH PF00010 10-59, PAS PF00989 84-176, PAS_11 PF14598 248-356",NPAS2_MOUSE,TF activator
NPM1,#,Histone chaperone,#,"H3, H2B, H4","nucleophosmin (nucleolar phosphoprotein B23, numatrin)",NPM_HUMAN,Nucleoplasmin PF03066 13-196,NPM_MOUSE,#
NPM2,#,Histone chaperone,#,"H2A, H2B",nucleophosmin/nucleoplasmin 2,NPM2_HUMAN,TSP_1 PF00090 161-209 213-267 271-316 319-374,NPM2_MOUSE,#
NSD1,"H3K36me, H4K20me",Histone modification write,#,"H3K36, H4K20",nuclear receptor binding SET domain protein 1,NSD1_HUMAN,"PHD PF00628 1709-1751, PWWP PF00855 321-419 1754-1844, Pfam-B_7228 PB007228 821-937, SET PF00856 1953-2059",NSD1_MOUSE,Histone methylation
NSL1,H4K16ac,Histone modification write cofactor,#,H4K16,"NSL1, MIS12 kinetochore complex component",NSL1_HUMAN,Mis14 PF08641 67-211,NSL1_MOUSE,Histone acetylation
NSRP1,#,RNA modification,#,mRNA,Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70) (NSrp70),NSRP1_HUMAN,PF09745,NSRP1_MOUSE,Alternative splicing
NSUN2,m5C,RNA modification,#,C of mRNA,NOP2/Sun RNA methyltransferase 2,NSUN2_HUMAN,PF01189,NSUN2_MOUSE,RNA methylation
NSUN6,m5C,RNA modification,#,C of mRNA,NOP2/Sun RNA methyltransferase 6,NSUN6_HUMAN,PF01189,NSUN6_MOUSE,RNA methylation
NTMT1,"Km1/m2/m3, Rm, Pm",Histone modification writer,#,"CENP-A, CENP-B, RCC1",N-terminal Xaa-Pro-Lys N-methyltransferase 1,NTM1A_HUMAN,PF05891,NTM1A_MOUSE,Histone methylation
NUP98,#,RNA modification,#,mRNA,Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)],NUP98_HUMAN,PF04096;PF12110,NUP98_MOUSE,Alternative splicing
OGT,H2BS112GlcNa,Histone modification write,NSL,H2BS112,O-linked N-acetylglucosamine (GlcNAc) transferase,OGT1_HUMAN,"Glyco_transf_41 PF13844 556-1024, TPR_1 PF00515 89-122 191-224 225-258 259-292 293-326 327-360 361-394 395-428 429-462, TPR_11 PF13414 87-154, TPR_8 PF13181 160-190",OGT1_MOUSE,Histone GlcNAcylation
OIP5,#,Chromatin remodeling,Mis18,CENPA,Opa interacting protein 5,MS18B_HUMAN,PF03226,MS18B_MOUSE,#
PADI1,"H2ARci, H3Rci, H4Rci",Histone modification,#,"H2AR, H3R, H4R","peptidyl arginine deiminase, type I",PADI1_HUMAN,"PAD PF03068 276-663, PAD_M PF08527 115-273, PAD_N PF08526 1-113",PADI1_MOUSE,Histone citrullination
PADI2,"H2ARci, H3Rci, H4Rci",Histone modification,#,"H2AR, H3R, H4R","peptidyl arginine deiminase, type II",PADI2_HUMAN,"PAD PF03068 279-665, PAD_M PF08527 116-274, PAD_N PF08526 1-114",PADI2_MOUSE,Histone citrullination
PADI3,"H2ARci, H3Rci, H4Rci",Histone modification,#,"H2AR, H3R, H4R","peptidyl arginine deiminase, type III",PADI3_HUMAN,"PAD PF03068 278-664, PAD_M PF08527 115-273, PAD_N PF08526 1-113",PADI3_MOUSE,Histone citrullination
PADI4,"H2ARci, H3R2ci, H3R8ci, H3R17ci, H3R26ci, H4Rci",Histone modification,#,"H2AR, H3R2, H3R8, H3R17, H3R26, H4R","peptidyl arginine deiminase, type IV",PADI4_HUMAN,"PAD PF03068 278-663, PAD_M PF08527 113-273, PAD_N PF08526 1-111",PADI4_MOUSE,Histone citrullination
PAF1,#,Histone modification write cofactor,#,"H2, H3","Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)",PAF1_HUMAN,Paf1 PF03985 27-446,PAF1_MOUSE,Histone ubiquitination
PAGR1,#,"Histone modification write cofactor, Histone modification write cofactor","CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4",#,PAXIP1 associated glutamate-rich protein 1,PAGR1_HUMAN,PAXIP1_C PF15364 86-221,PAGR1_MOUSE,"Histone methylation, Histone acetylation"
PAK2,H4S47ph,Histone modification write,#,H4S47,p21 protein (Cdc42/Rac)-activated kinase 2,PAK2_HUMAN,"PBD PF00786 73-131, Pkinase PF00069 249-500",PAK2_MOUSE,Histone phosphorylation
PARG,#,Chromatin remodeling,#,H3K9,poly (ADP-ribose) glycohydrolase,PARG_HUMAN,"PARG_cat PF05028 577-912, Pfam-B_14007 PB014007 925-955",PARG_MOUSE,#
PARP1,#,Chromatin remodeling,#,H1,poly (ADP-ribose) polymerase 1,PARP1_HUMAN,"BRCT PF00533 385-462, PADR1 PF08063 279-332, PARP PF00644 797-1007, PARP_reg PF02877 662-795, WGR PF05406 549-633, zf-PARP PF00645 12-90 116-200",PARP1_MOUSE,#
PARP2,#,Chromatin remodeling cofactor,#,#,poly (ADP-ribose) polymerase 2,PARP2_HUMAN,"PARP PF00644 365-577, PARP_reg PF02877 231-363, WGR PF05406 111-195",PARP2_MOUSE,#
PARP3,#,Polycomb group (PcG) protein,#,#,"poly (ADP-ribose) polymerase family, member 3",PARP3_HUMAN,"PARP PF00644 322-533, PARP_reg PF02877 182-320, WGR PF05406 62-144",#,#
PAXIP1,H3K4me3,Histone modification write cofactor,"CHD8, MLL2/3, MLL4/WBP7, COMPASS-like MLL3,4",H3K4,PAX interacting (with transcription-activation domain) protein 1,PAXI1_HUMAN,"BRCT PF00533 601-681 701-776 867-934, PTCB-BRCT PF12738 102-165, Pfam-B_13490 PB013490 1009-1064, Pfam-B_16838 PB016838 485-548",PAXI1_MOUSE,Histone methylation
PBK,H3S10ph,Histone modification write,#,H3S10,PDZ binding kinase,TOPK_HUMAN,Pkinase PF00069 33-318,TOPK_MOUSE,Histone phosphorylation
PBRM1,#,Histone modification read,"PBAF, SWI/SNF BRM-BRG1",H3,polybromo 1,PB1_HUMAN,"BAH PF01426 956-1074 1156-1272, Bromodomain PF00439 54-139 186-275 392-475 532-613 666-750 785-867, HMG_box PF00505 1379-1446",PB1_MOUSE,#
PCGF1,#,Polycomb group (PcG) protein,"PRC1, BCOR",#,polycomb group ring finger 1,PCGF1_HUMAN,zf-C3HC4 PF00097 47-85,PCGF1_MOUSE,#
PCGF2,#,Polycomb group (PcG) protein,PRC1,#,polycomb group ring finger 2,PCGF2_HUMAN,zf-C3HC4 PF00097 18-56,PCGF2_MOUSE,#
PCGF3,#,Polycomb group (PcG) protein,"PRC1, RING2-FBRS",#,polycomb group ring finger 3,PCGF3_HUMAN,zf-C3HC4 PF00097 17-55,PCGF3_MOUSE,#
PCGF5,#,Polycomb group (PcG) protein,"PRC1, RING2-FBRS",#,polycomb group ring finger 5,PCGF5_HUMAN,zf-C3HC4 PF00097 18-56,PCGF5_MOUSE,#
PCGF6,#,Polycomb group (PcG) protein,"PRC1, RING2-L3MBTL2",#,polycomb group ring finger 6,PCGF6_HUMAN,zf-C3HC4 PF00097 134-172,PCGF6_MOUSE,#
PCNA,#,Chromatin remodeling,#,"H2A, H2B",proliferating cell nuclear antigen,PCNA_HUMAN,"PCNA_C PF02747 127-254, PCNA_N PF00705 1-125",PCNA_MOUSE,#
PDP1,#,Histone modification read,#,H4K20me3,pyruvate dehyrogenase phosphatase catalytic subunit 1,PDP1_HUMAN,"PP2C PF00481 194-487, Pfam-B_13776 PB013776 99-163",PDP1_MOUSE,#
PELP1,#,"Histone modification read, Histone modification write cofactor","CHD8, MLL2/3, MLL4/WBP7","H1, H3, H4","proline, glutamate and leucine rich protein 1",PELP1_HUMAN,"NUC202 PF08166 423-489 569-642, RIX1 PF08167 66-226",PELP1_MOUSE,"Histone methylation, Histone acetylation"
PHC1,#,Polycomb group (PcG) protein,PRC1,#,polyhomeotic homolog 1 (Drosophila),PHC1_HUMAN,"Pfam-B_4954 PB004954 615-678, Pfam-B_5821 PB005821 430-536, SAM_1 PF00536 938-1002, zf-FCS PF06467 792-827",PHC1_MOUSE,#
PHC2,#,Polycomb group (PcG) protein,PRC1,#,polyhomeotic homolog 2 (Drosophila),PHC2_HUMAN,"Pfam-B_5669 PB005669 651-679, Pfam-B_6832 PB006832 1-198, SAM_1 PF00536 792-856",PHC2_MOUSE,#
PHC3,#,Polycomb group (PcG) protein,PRC1,#,polyhomeotic homolog 3 (Drosophila),PHC3_HUMAN,"Pfam-B_12208 PB012208 689-724, Pfam-B_17091 PB017091 431-487, Pfam-B_19383 PB019383 780-822, Pfam-B_19396 PB019396 1-39, SAM_1 PF00536 917-981",PHC3_MOUSE,#
PHF1,#,Polycomb group (PcG) protein,PRC2,#,PHD finger protein 1,PHF1_HUMAN,"Mtf2_C PF14061 525-566, PHD PF00628 89-142, Pfam-B_18040 PB018040 1-30, Pfam-B_24844 PB024844 331-384",PHF1_MOUSE,#
PHF10,#,Chromatin remodeling,"npBAF, SWI/SNF BRM-BRG1",#,PHD finger protein 10,PHF10_HUMAN,"PHD PF00628 379-436 435-481, Pfam-B_1316 PB001316 15-230",PHF10_MOUSE,#
PHF12,#,Histone modification erase cofactor,#,#,PHD finger protein 12,PHF12_HUMAN,PHD PF00628 58-105 273-318,PHF12_MOUSE,Histone acetylation
PHF13,#,Histone modification read,#,H3K4me3,PHD finger protein 13,PHF13_HUMAN,"PHD PF00628 234-280, Pfam-B_28476 PB028476 1-49",PHF13_MOUSE,#
PHF14,"H2Aac, H2Bac, H3ac",Histone modification read,#,"H2A, H2B, H3",PHD finger protein 14,PHF14_HUMAN,"PHD PF00628 321-380 727-779, Pfam-B_16803 PB016803 175-216, Pfam-B_19012 PB019012 218-295, zf-HC5HC2H_2 PF13832 383-498",PHF14_MOUSE,#
PHF19,#,"Chromatin remodeling, Histone modification write cofactor",PRC2,#,PHD finger protein 19,PHF19_HUMAN,"Mtf2_C PF14061 529-579, PHD PF00628 98-151, Pfam-B_31053 PB031053 1-59",PHF19_MOUSE,Histone acetylation
PHF2,H3K9,Histone modification erase,#,H3K9me2,PHD finger protein 2,PHF2_HUMAN,"JmjC PF02373 236-336, PHD PF00628 7-56, Pfam-B_3847 PB003847 851-988",PHF2_MOUSE,Histone methylation
PHF20,H4ac,Histone modification write,"NSL, CHD8, MLL2/3, MLL4/WBP7",H4,PHD finger protein 20,PHF20_HUMAN,"DUF3776 PF12618 173-279, PHD PF00628 654-700, Pfam-B_21846 PB021846 511-589, Pfam-B_23453 PB023453 280-309",PHF20_MOUSE,Histone acetylation
PHF20L1,#,Histone modification read,#,H3K4me,PHD finger protein 20-like 1,P20L1_HUMAN,"DUF3776 PF12618 210-317 415-518, PHD PF00628 683-729, Pfam-B_37699 PB037699 791-849",P20L1_MOUSE,#
PHF21A,#,Histone modification erase cofactor,"BHC, LSD-CoREST",#,PHD finger protein 21A,PF21A_HUMAN,"AT_hook PF02178 425-436, PHD PF00628 490-535, Pfam-B_15568 PB015568 536-649, Pfam-B_7050 PB007050 1-349",PF21A_MOUSE,Histone methylation
PHF8,"H3K9, H3K27, H4K20, H3K36, H3K4",Histone modification erase,#,"H3K9me1, H3K9me2, H3K27me2, H4K20me1, H3K36me2, H3K36me3, H3K4me3",PHD finger protein 8,PHF8_HUMAN,"JmjC PF02373 270-370, PHD PF00628 43-92, Pfam-B_22520 PB022520 499-557, Pfam-B_5629 PB005629 779-877",PHF8_MOUSE,Histone methylation
PHIP,#,Histone modification read,#,H3,pleckstrin homology domain interacting protein,PHIP_HUMAN,"Bromodomain PF00439 1165-1251 1325-1409, Pfam-B_15784 PB015784 743-864, Pfam-B_60538 PB060538 1-77, WD40 PF00400 174-211 215-253 257-298 355-393 456-495",PHIP_MOUSE,#
PIWIL4,#,"Chromatin remodeling, Histone modification erase cofactor",#,H3K9,piwi-like RNA-mediated gene silencing 4,PIWL4_HUMAN,"PAZ PF02170 271-407, Pfam-B_2782 PB002782 101-219, Pfam-B_34294 PB034294 1-99, Piwi PF02171 546-838",PIWL4_MOUSE,Histone methylation
PKM,"H3S10ph, H3S28ph, H2BS32ph, H3T11ph",Histone modification write cofactor,#,"H3S10, H3S28, H2BS32","pyruvate kinase, muscle",KPYM_HUMAN,"PK PF00224 42-395, PK_C PF02887 409-529",KPYM_MOUSE,Histone phosphorylation
PKN1,H3T11ph,Histone modification write,#,H3T11,protein kinase N1,PKN1_HUMAN,"HR1 PF02185 37-105 126-198 213-285, Pfam-B_33979 PB033979 8-36, Pkinase PF00069 615-874, Pkinase_C PF00433 894-940",PKN1_MOUSE,Histone phosphorylation
POGZ,#,Histone modification read,#,H3K9me3,pogo transposable element with ZNF domain,POGZ_HUMAN,"DDE_1 PF03184 1117-1304, HTH_Tnp_Tc5 PF03221 1024-1085, Pfam-B_10413 PB010413 693-771, Pfam-B_10981 PB010981 1-69, Pfam-B_5179 PB005179 796-843, Pfam-B_6754 PB006754 773-795",POGZ_MOUSE,Histone methylation
POLE3,#,Histone chaperone,CHRAC,#,"polymerase (DNA directed), epsilon 3, accessory subunit",DPOE3_HUMAN,"CBFD_NFYB_HMF PF00808 8-73, Pfam-B_35841 PB035841 74-135",DPOE3_MOUSE,#
PPARGC1A,#,Histone modification cofactor,#,#,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha",PRGC1_HUMAN,"Pfam-B_19319 PB019319 241-286, RRM_1 PF00076 679-742",PRGC1_MOUSE,#
PPM1G,#,Chromatin remodeling,#,#,"protein phosphatase, Mg2+/Mn2+ dependent, 1G",PPM1G_HUMAN,PP2C PF00481 25-120 264-492,PPM1G_MOUSE,#
PPP2CA,H2AXph,Histone modification write,#,H2AX,"protein phosphatase 2, catalytic subunit, alpha isozyme",PP2AA_HUMAN,Metallophos PF00149 50-245,PP2AA_MOUSE,Histone phosphorylation
PPP4C,H2AXS139,Histone modification erase,PPP4C-PPP4R2-PPP4R3A,H2AXS139ph,"protein phosphatase 4, catalytic subunit",PP4C_HUMAN,Metallophos PF00149 47-242,PP4C_MOUSE,Histone phosphorylation
PPP4R2,#,Histone modification cofactor,PPP4C-PPP4R2-PPP4R3A,#,"protein phosphatase 4, regulatory subunit 2",PP4R2_HUMAN,PPP4R2 PF09184 2-267,PP4R2_MOUSE,#
PQBP1,#,RNA modification,#,mRNA,Polyglutamine-binding protein 1 (PQBP-1) (38 kDa nuclear protein containing a WW domain) (Npw38) (Polyglutamine tract-binding protein 1),PQBP1_HUMAN,#,PQBP1_MOUSE,Alternative splicing
PRDM1,H3K9me,Histone modification write cofactor,#,H3K9,"PR domain containing 1, with ZNF domain",PRDM1_HUMAN,"SET PF00856 99-201, zf-H2C2_2 PF13465 589-614 617-642 645-670",PRDM1_MOUSE,Histone methylation
PRDM11,#,Histone modification write,#,#,PR domain containing 11,PRD11_HUMAN,Pfam-B_3219 PB003219 1-353,PRD11_MOUSE,Histone methylation
PRDM12,H3K9me,Histone modification write cofactor,#,H3K9,PR domain containing 12,PRD12_HUMAN,"Pfam-B_39033 PB039033 1-49, zf-H2C2_2 PF13465 257-282 285-310",PRD12_MOUSE,Histone methylation
PRDM13,#,Histone modification write,#,#,PR domain containing 13,PRD13_HUMAN,"zf-C2H2 PF00096 137-160, zf-H2C2_2 PF13465 587-611 615-641",PRD13_MOUSE,Histone methylation
PRDM14,#,DNA modification,#,mC,PR domain containing 14,PRD14_HUMAN,"SET PF00856 265-367, zf-C2H2 PF00096 546-568, zf-C2H2_4 PF13894 400-421 432-455, zf-H2C2_2 PF13465 475-500 504-528",PRD14_MOUSE,DNA demethylation
PRDM16,H3K9me,"Histone modification write cofactor, TF",#,"H3K9, DNA motif",PR domain containing 16,PRD16_HUMAN,"Pfam-B_2662 PB002662 14-127, zf-C2H2 PF00096 337-360 366-388 394-416 423-445 979-1002 1008-1032, zf-C2H2_6 PF13912 229-255, zf-H2C2_2 PF13465 295-319 965-989",PRD16_MOUSE,"Histone methylation, TF repressor"
PRDM2,H3K9me,Histone modification write,#,H3K9,"PR domain containing 2, with ZNF domain",PRDM2_HUMAN,"Pfam-B_29325 PB029325 1053-1085, SET PF00856 41-141, zf-C2H2 PF00096 390-412, zf-C2H2_4 PF13894 360-383 483-506 1134-1157 1191-1214 1455-1475",#,Histone methylation
PRDM4,H4R3me2s,Histone modification write,#,H4R3,PR domain containing 4,PRDM4_HUMAN,"Pfam-B_13260 PB013260 461-509, zf-C2H2 PF00096 730-752, zf-H2C2_2 PF13465 632-657 660-683 688-713",PRDM4_MOUSE,Histone methylation
PRDM5,H3K9me,Histone modification write,#,H3K9,PR domain containing 5,PRDM5_HUMAN,"zf-C2H2 PF00096 199-221 262-287 603-625, zf-C2H2_4 PF13894 167-190, zf-C2H2_jaz PF12171 375-399, zf-H2C2_2 PF13465 334-359 418-443 446-472 475-500 503-528 531-556 559-583, zf-met PF12874 234-254 295-317",PRDM5_MOUSE,Histone methylation
PRDM6,"H3R2me1, H3R2me2, H4K20me1",Histone modification write,#,"H3R2, H4K20",PR domain containing 6,PRDM6_HUMAN,"SET PF00856 259-365, zf-C2H2 PF00096 501-523, zf-C2H2_4 PF13894 473-495, zf-H2C2_2 PF13465 543-568",PRDM6_MOUSE,Histone methylation
PRDM7,#,Histone modification write,#,#,PR domain containing 7,PRDM7_HUMAN,"KRAB PF01352 27-65, SSXRD PF09514 170-202",#,Histone methylation
PRDM8,#,Histone modification write,#,#,PR domain containing 8,PRDM8_HUMAN,zf-C2H2 PF00096 627-648 666-688,PRDM8_MOUSE,Histone methylation
PRDM9,H3K4me3,Histone modification write,#,H3K4,PR domain containing 9,PRDM9_HUMAN,"KRAB PF01352 27-65, SSXRD PF09514 170-202, zf-C2H2 PF00096 860-882, zf-H2C2_2 PF13465 540-562 566-590 594-619 622-647 650-674 678-702 706-731 734-758 762-786 790-815 818-843 846-871",PRDM9_MOUSE,Histone methylation
PRKAA1,H2BS36ph,Histone modification write,#,H2BS36,"protein kinase, AMP-activated, alpha 1 catalytic subunit",AAPK1_HUMAN,"Pfam-B_8588 PB008588 351-524, Pkinase PF00069 27-279",AAPK1_MOUSE,Histone phosphorylation
PRKAA2,H2BS36ph,Histone modification write,#,H2BS36,"protein kinase, AMP-activated, alpha 2 catalytic subunit",AAPK2_HUMAN,Pkinase PF00069 16-268,AAPK2_MOUSE,Histone phosphorylation
PRKAB1,#,Histone modification write cofactor,#,#,"protein kinase, AMP-activated, beta 1 non-catalytic subunit",AAKB1_HUMAN,AMPKBI PF04739 149-270,AAKB1_MOUSE,Histone phosphorylation
PRKAB2,#,Histone modification write cofactor,#,#,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",AAKB2_HUMAN,AMPKBI PF04739 155-272,AAKB2_MOUSE,Histone phosphorylation
PRKAG1,#,Histone modification write cofactor,#,#,"protein kinase, AMP-activated, gamma 1 non-catalytic subunit",AAKG1_HUMAN,CBS PF00571 39-97 118-178 187-252 263-324,AAKG1_MOUSE,Histone phosphorylation
PRKAG2,#,Histone modification write cofactor,#,#,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",AAKG2_HUMAN,"CBS PF00571 350-410 428-484 494-556, Pfam-B_5182 PB005182 268-349",AAKG2_MOUSE,Histone phosphorylation
PRKAG3,#,Histone modification write cofactor,#,#,"protein kinase, AMP-activated, gamma 3 non-catalytic subunit",AAKG3_HUMAN,CBS PF00571 273-333 350-406 414-479,AAKG3_MOUSE,Histone phosphorylation
PRKCA,#,Histone modification write cofactor,#,H3,"protein kinase C, alpha",KPCA_HUMAN,"C1_1 PF00130 37-89 102-154, C2 PF00168 173-260, Pkinase PF00069 339-597, Pkinase_C PF00433 622-662",KPCA_MOUSE,Histone phosphorylation
PRKCB,H3T6ph,Histone modification write,#,H3T6,"protein kinase C, beta",KPCB_HUMAN,"C1_1 PF00130 37-89 102-154, C2 PF00168 173-260, Pkinase PF00069 342-600, Pkinase_C PF00433 620-666",KPCB_MOUSE,Histone methylation
PRKCD,#,Histone modification,#,#,"protein kinase C, delta",KPCD_HUMAN,"C1_1 PF00130 159-211 231-283, Pkinase PF00069 349-603, Pkinase_C PF00433 623-669",KPCD_MOUSE,#
PRKDC,"H2AXS139ph, H2AFXS139ph",Histone modification write,#,"H2AXS139, H2AFXS139","protein kinase, DNA-activated, catalytic polypeptide",PRKDC_HUMAN,"FAT PF02259 3023-3470, FATC PF02260 4096-4128, NUC194 PF08163 1813-2210, PI3_PI4_kinase PF00454 3747-4015, Pfam-B_14440 PB014440 411-472, Pfam-B_1565 PB001565 131-345, Pfam-B_9125 PB009125 2650-2694",PRKDC_MOUSE,Histone phosphorylation
PRMT1,"H4R3me1, H4R3me2a",Histone modification write,#,H4R3,protein arginine methyltransferase 1,ANM1_HUMAN,Methyltransf_31 PF13847 76-216,ANM1_MOUSE,Histone methylation
PRMT2,H4me,Histone modification write,#,H4,protein arginine methyltransferase 2,ANM2_HUMAN,"PRMT5 PF05185 114-415, SH3_9 PF14604 37-84",ANM2_MOUSE,Histone methylation
PRMT5,"H3R8me, H4R3me",Histone modification write,methylosome,"H3R8, H4R3",protein arginine methyltransferase 5,ANM5_HUMAN,"PRMT5 PF05185 181-619, Pfam-B_18578 PB018578 1-49",ANM5_MOUSE,Histone methylation
PRMT6,"H2AR3me, H4R3me, H3R2me2a",Histone modification write,#,"H2AR3, H3R2, H4R4",protein arginine methyltransferase 6,ANM6_HUMAN,Methyltransf_18 PF12847 82-189,ANM6_MOUSE,Histone methylation
PRMT7,"H2A, H4R3me2",Histone modification write,#,"H2A, H4R3",protein arginine methyltransferase 7,ANM7_HUMAN,"Pfam-B_13426 PB013426 301-359, PrmA PF06325 54-149",ANM7_MOUSE,Histone methylation
PRMT8,H4Rme,Histone modification write,#,H4R,protein arginine methyltransferase 8,ANM8_HUMAN,PrmA PF06325 102-200,ANM8_MOUSE,Histone methylation
PRMT9,H4R3me2,Histone modification write,#,H4R3,protein arginine methyltransferase 9,ANM9_HUMAN,"PrmA PF06325 167-257, TPR_11 PF13414 67-132",ANM9_MOUSE,Histone methylation
PRPF31,#,"Histone modification write cofactor, Histone modification write cofactor","CHD8, MLL2/3, MLL4/WBP7",#,pre-mRNA processing factor 31,PRP31_HUMAN,"NOSIC PF08060 92-144, Nop PF01798 186-334, Pfam-B_23523 PB023523 1-44, Prp31_C PF09785 336-465",PRP31_MOUSE,"Histone methylation, Histone acetylation"
PRR14,#,Histone modification write,#,"H3K9me2, H3K9me3",proline rich 14,PRR14_HUMAN,Tantalus PF15386 457-517,PRR14_MOUSE,Histone phosphorylation
PSIP1,#,Chromatin remodeling,#,#,PC4 and SFRS1 interacting protein 1,PSIP1_HUMAN,"LEDGF PF11467 349-455, PWWP PF00855 5-87",PSIP1_MOUSE,#
PTBP1,#,RNA modification,#,mRNA,Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I),PTBP1_HUMAN,PF00076;PF11835,PTBP1_MOUSE,Alternative splicing
PTBP1,#,RNA modification,#,mRNA,Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I),PTBP1_HUMAN,PF00076;PF11835,PTBP1_MOUSE,Alternative splicing
PUF60,#,RNA modification,#,mRNA,Poly(U)-binding-splicing factor PUF60 (60 kDa poly(U)-binding-splicing factor) (FUSE-binding protein-interacting repressor) (FBP-interacting repressor) (Ro-binding protein 1) (RoBP1) (Siah-binding protein 1) (Siah-BP1),PUF60_HUMAN,PF00076,PUF60_MOUSE,Alternative splicing
RAD51,#,Histone modification erase,BRCC,histone,RAD51 recombinase,RAD51_HUMAN,"HHH_5 PF14520 28-80, Rad51 PF08423 83-338",RAD51_MOUSE,Histone ubiquitination
RAD54B,#,Chromatin remodeling,#,#,RAD54 homolog B (S. cerevisiae),RA54B_HUMAN,"Helicase_C PF00271 678-758, Pfam-B_10171 PB010171 772-829, SNF2_N PF00176 299-598",RA54B_MOUSE,#
RAD54L,#,Chromatin remodeling,#,#,RAD54-like (S. cerevisiae),RAD54_HUMAN,"Helicase_C PF00271 531-611, Pfam-B_14570 PB014570 674-743, Rad54_N PF08658 33-138, SNF2_N PF00176 156-463",RAD54_MOUSE,#
RAD54L2,#,Chromatin remodeling,#,#,RAD54-like 2 (S. cerevisiae),ARIP4_HUMAN,"Helicase_C PF00271 774-854, Pfam-B_2830 PB002830 105-259, SNF2_N PF00176 274-625",ARIP4_MOUSE,#
